tiempo total: 0:05:58.612821
tiempo creacion kb: 0:01:36.292503
tiempo para responder consulta: 0:04:16.703378
         1050620873 function calls (1047945851 primitive calls) in 358.727 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 enum.py:822(__or__)
      271    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        8    0.000    0.000    0.000    0.000 enum.py:557(__new__)
       28    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       31    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       59    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
        4    0.000    0.000    0.000    0.000 sortedlist.py:61(decorating_function)
       48    0.000    0.000    0.000    0.000 re.py:268(escape)
        5    0.000    0.000    0.000    0.000 OntDB.py:5(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:785(_missing_)
        1    0.000    0.000    0.000    0.000 subprocess.py:1097(_close_pipe_fds)
       63    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
