tiempo total: 0:00:35.266278
tiempo de traduccion: 1900-01-01 00:00:00.016558
tiempo de construccion de homomorfismos 1900-01-01 00:00:00.071923
tiempo de ejecucion consulta SQL 1900-01-01 00:00:00.009589
tiempo creacion kb: 0:00:01.009957
tiempo para responder consulta: 0:00:29.023667
         84147746 function calls (83634982 primitive calls) in 35.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
     1501    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        4    0.000    0.000    0.000    0.000 OntQuery.py:23(get_free_variables)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
  271/106    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      781    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        3    0.000    0.000    0.000    0.000 _strptime.py:565(_strptime_datetime)
        3    0.000    0.000    0.000    0.000 _strptime.py:309(_strptime)
      944    0.000    0.000    0.000    0.000 NetDiffFact.py:18(getTimeUpper)
        9    0.000    0.000    0.000    0.000 schema.py:17(gatherTableData)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:129(__new__)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
       12    0.000    0.000    0.000    0.000 NetDiffGraph.py:35(get_components)
     2832    0.000    0.000    0.000    0.000 NetCompTarget.py:23(getComponent)
     2832    0.000    0.000    0.000    0.000 NetCompTarget.py:19(getLabel)
        8    0.000    0.000    0.000    0.000 yacc.py:2778(get_all)
        1    0.000    0.000    0.000    0.000 _strptime.py:261(compile)
        2    0.000    0.000    0.000    0.000 enum.py:434(_convert_)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 NetDERKB.py:81(_load_schema)
        1    0.000    0.000    0.000    0.000 Null.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        8    0.000    0.000    0.000    0.000 yacc.py:2958(get_pfunctions)
